|message
0|either candidate move needle debates abc news review data since suggests past debates almost never directly measurably changed candidates relative standings least debates may subtle impacts
1|breaking ahmad rahami wanted connection nyc bombing says nypd
2|donald trump choice look going really choice trying politically correct country going get worse
3|watch live hillary clinton holds news conference white plains ny http abcn ws cyazvp
4|latest authorities believe three bombing incidents weekend seaside new jersey new york city elizabeth new jersey related sources say although unclear whether explosive devices work one person larger group
5|hillary clinton responds weekend attacks threat real resolve americans cower prevail http abcn ws ck xe
6|donald trump surrogates leading supporters push narrative hillary clinton campaign started birther controversy meaning false notion president obama born outside united states
7|breaking man believed person wanted connection ny nj bombings taken custody sources say
8|president obama toughness resiliency new york new jersey makes proud american http abcn ws ccpesl
9|latest ahmad rahami wanted connection ny nj bombings taken custody http abcn ws cygp w
10|warplanes target besieged syrian city aleppo first time since ceasefire went effect last week
11|hillary clinton arrest suspect wanted new jersey new york bombings sobering reminder need steady leadership dangerous world
12|syrian military declared today u russia brokered cease fire blaming rebel groups violating agreement
13|new york city mayor bill blasio manhattan bombing every reason believe act terror abcn ws iuqb
14|u official told abc news rahami came u pretty normal guy quiet funny according one classmates
15|tonight matthew dowd lz granderson host special edition strait talk live detroit questions leave tune tonight http abcn ws hx w
16|trump children previously protected united states secret service around donald trump ivanka trump receiving protection
17|speaking supporters gramercy park home restaurateur danny meyer wife audrey president obama slams donald trump candidacy curiosity desire get speed infomercial reality show
18|tim kaine donald trump crippled america maybe america looks crippled sitting penthouse
19|rose pak influential community activist turned san francisco asian american population political power city passes away
20|donald trump florida rally hillary clinton find radical muslims deplorable reserved hard working americans
21|leaders somali community central minnesota united sunday condemn stabbings said suspect represent expressed fear backlash
22|tonight abc news matthew dowd lz granderson host special strait talk live detroit talking everything race rebirth detroit tune http abcn ws cytdic
23|donald trump bemoans amazing treatment alleged new york area bomber ahmad khan rahami receive hospital probably even room service knowing way country http abcn ws cxfpjp
24|federal prosecutor tells jurors witness testify gov chris christie told plan close traffic lanes near george washington bridge shutdown happening claim contested years
25|three latest national polls conducted various attacks weekend hillary clinton leading donald trump respondents asked trust handle issue terrorism
26|fatina abdrabboh director american arab anti discrimination committee dearborn mi tells abc news islam deep roots us dismantle idea muslims foreign
27|paul ryan shared experiences presidential campaign trail ivanka trump provided ryan update father presidential campaign
28|final stretch election day hillary clinton campaign setting sights youth
29|one week go first presidential debate hofstra ny crunch time hillary clinton donald trump
30|results cement putin total control country political life potentially grant ability change russia constitution
31|police looking suspects year old u marine corps serviceman shot head weekend leave los angeles authorities say
32|possibility donald trump could win nov elections made financial markets nervous especially reflected mexican peso according one mexico largest banks
33|year old republican st president member conservative political dynasty spans several generations vote partyaor says scion another family center american politics
34|highly anticipated first presidential debate race less one week away need know
35|president obama final united nations general assembly address despite share mistakes america force good abcn ws cekxsa
36|suspect spate bombings terrorized new york city metropolitan area weekend visited city pakistan known hotbed insurgent activity source told abc news
37|u senator elizabeth warren questions wells fargo ceo john stumpf whether resigned returned money made scam going abcn ws cqzdmm
38|donald trump uproar led mars incorporated parent company manufacturer skittles tweet askittles candy refugees people
39|big fundraising haul high profile visits turned indiana senate race one hardest fought contests year heated struggle control u senate balance power washington
40|senate floor senator harry reid says donald trump release tax returns worth nearly much claims
41|two parties dominate american politics always way brief history george washington http abcn ws cmoy
42|eighth final address united nations general assembly commander chief president obama takes apparent swipe donald trump plan build wall along u mexico border
43|united nations says attack aid convoy could amount war crime
44|using skittles make point aour syrian refugee problema didnat go well mars incorporatedabut candy makeras rebuke donald trump jr controversial tweet hardly first
45|rally north carolina donald trump says nothing like things people money
46|writings apparently rahami allegedly engaged firefight police pages shot bullet
47|two years ago rahami father told fbi federal bureau investigation interacting bad people overseas concerned citizen neighborhood told authorities rahami associates may trying procure explosives sources tell abc news
48|many times see country hillary clinton asks fatal police shooting terence crutcher tulsa oklahoma
49|jesse benton ron paul campaign chairman convicted conspiracy causing false campaign contribution reports filed federal election commission participating false statement scheme
50|whopping campaign television ad spending scheduled today election dayamore millionacomes hillary clinton team according abc news analysis cmag kantar media data
51|hillary clinton campaign slammed donald trump fraud believes rules apply reports gop presidential candidate used money charitable foundation settle two lawsuits filed profit businesses
52|several protesters dozen police officers injured five people arrested violent protests erupted following deadly police shooting charlotte north carolina tuesday
53|five days hillary clinton donald trump square first presidential debate tune monday night abc news stream live abc news facebook debates
54|iam really really appalled image know twitter used refugees photographer david kittos tells abc news
55|introducing donald trump cleveland church king says every white woman cast vote donald trump knock system http abcn ws sdfa
56|recent polling suggests comes winning youth vote key demographic president obama perhaps hillary clintonas greatest challenge donald trump bernie sanders harshly critiquing trail third party candidates
57|congressman luis v gutierrez interrupts house judiciary committee irs hearing eat skittles following donald trump jr controversial tweet candy refugees really love skittles every get bad skittle ban
58|lewandowski fired donald trumpas campaign manager june series missteps included physical confrontation reporter charged battery altercation protesters rally
59|us attorney preet bharara evidence shows ny bombing premeditated act terrorism abcn ws cdkyjv
60|u federal reserve maintains current interest rate level signals rate hike coming soon http abcn ws mpgr
61|bush made declaration front people attendance reception source tells abc news
62|hillary clinton praises first deaf west wing receptionist leah katz hernandez shows nation sees talent everyone
63|billionaires writing big checks outside groups focused senate two thirds senate leadership fund million haul coming billionaire casino owner sheldon adelson
64|rep elijah cummings criticizes mylan ceo heather bresch congressional hearing drastic rise cost epipens mylan takes punches fly back mansions private jets laugh way bank constituents suffer file bankruptcy watch children get sicker cases die
65|purpose negotiation put end kind horrific indiscriminate attacks primary cause fear suffering displacement john kerry said plan could quickly accompanied serious negotiations parties aimed political transition conclusion conflict
66|first lady michelle obama reacted publicly first time controversy melania trump speech gop convention cleveland earlier summer republican presidential nomineeas wife accused using parts obamaas democratic national convention speech
67|latest national presidential poll encouraging news campaign hillary clinton showing point lead donald trump
68|next library congress abc news talks new librarian congress carla hayden find abcn ws cp
69|bloody page journal purportedly found ahmad rahami captured new york new jersey bombing suspect appears praise major terrorist figures including main spokesperson isis
70|fed chair janet yellen tells abc news rebecca jarvis federal reserve politically compromised abcn ws cmm wj
71|ask set much easier questions put forward detailed material parry spokesperson hillary clinton campaign says
72|senate cleared way today massive arms deal saudi arabia proceed voting resolution would blocked transfer billion worth military equipment sold u saudi arabia
73|donald trump appeared try court african american voters cleveland today town hall expressed support establishing policing policy stop frisk national level
74|case projected cost taxpayers million next summer
75|donald trump campaignas major concern candidateas limited preparation hillary clinton campas biggest worry republican presidential nominee asked softer questions asked clinton
76|president bill clinton ayou living proof good people committed creative cooperation almost unlimited positive impact help people today give kids better tomorrows spent last years life working advance idea
77|president obama shares emotional video child asked host syrian refugee awe learn alex http abcn ws tntu
78|presidential debates viewers tune get informed make mind maybe waiting missteps http abcn ws cr fov
79|donald trump comments charlotte country looks bad world especially supposed world leader lead even control cities
80|donald trump sought amend position interview morning saying never meant suggest stop frisk would implemented nationally
81|athe level business amounts hundreds millions dollars received result interaction russian businessmen said sergei millian heads u russia business group says helped market donald trumpas u condos russia former soviet states
82|second time two weeks bryan pagliano former senior adviser information resource management state department failed show hearing testify preservation state department records
83|president obama placed national medal arts mel brooks neck legendary comedian pretended pull president pants http abcn ws cgp r
84|less day protests police killing african american man turned violent north carolina donald trump placed blame turmoil impact drugs
85|secret service said aawarea aalleged email hacking white house employeea may compromised private passport information first lady michelle obama along communications several white house staffers
86|mike pence donald trump believe thereas far much talk institutional bias racism within law enforcement
87|u attorneyas office manhattan investigating anthony weineras alleged sexting minor according two officials briefed case
88|former massachusetts governor presidential candidate michael dukakis advised hillary clinton focus dealing donald trump unorthodox approach debating
89|federal judge new york ruled stop question frisk program unconstitutional violated rights minorities disproportionally targeted practice
90|stay touch best way reach email
